subjectID,trialID,currentTime,eventType,stimType,stimFile,stimChar
e04,4,1484131488447,trialStart,easy,easy_2_23_80_62373,
e04,,1484131488848,charShow,,,a
e04,,1484131489249,charShow,,,a
e04,,1484131489649,charShow,,,b
e04,,1484131490039,screenTap,,,
e04,,1484131490052,charShow,,,a
e04,,1484131490449,charShow,,,a
e04,,1484131490849,charShow,,,b
e04,,1484131491205,screenTap,,,
e04,,1484131491249,charShow,,,a
e04,,1484131491649,charShow,,,b
e04,,1484131492048,charShow,,,a
e04,,1484131492063,screenTap,,,
e04,,1484131492449,charShow,,,a
e04,,1484131492850,charShow,,,b
e04,,1484131493212,screenTap,,,
e04,,1484131493248,charShow,,,a
e04,,1484131493649,charShow,,,a
e04,,1484131494049,charShow,,,b
e04,,1484131494389,screenTap,,,
e04,,1484131494449,charShow,,,a
e04,,1484131494849,charShow,,,b
e04,,1484131495248,charShow,,,a
e04,,1484131495262,screenTap,,,
e04,,1484131495649,charShow,,,a
e04,,1484131496049,charShow,,,b
e04,,1484131496394,screenTap,,,
e04,,1484131496448,charShow,,,a
e04,,1484131496849,charShow,,,a
e04,,1484131497251,charShow,,,b
e04,,1484131497619,screenTap,,,
e04,,1484131497649,charShow,,,a
e04,,1484131498048,charShow,,,b
e04,,1484131498441,screenTap,,,
e04,,1484131498456,charShow,,,a
e04,,1484131498848,charShow,,,a
e04,,1484131499248,charShow,,,b
e04,,1484131499581,screenTap,,,
e04,,1484131499652,charShow,,,a
e04,,1484131500048,charShow,,,a
e04,,1484131500449,charShow,,,b
e04,,1484131500792,screenTap,,,
e04,,1484131500848,charShow,,,a
e04,,1484131501249,charShow,,,b
e04,,1484131501648,charShow,,,a
e04,,1484131501662,screenTap,,,
e04,,1484131502049,charShow,,,a
e04,,1484131502449,charShow,,,b
e04,,1484131502816,screenTap,,,
e04,,1484131502848,charShow,,,a
e04,,1484131503250,charShow,,,a
e04,,1484131503649,charShow,,,b
e04,,1484131504039,screenTap,,,
e04,,1484131504048,charShow,,,a
e04,,1484131504450,charShow,,,b
e04,,1484131504847,screenTap,,,
e04,,1484131504848,charShow,,,a
e04,,1484131505249,charShow,,,a
e04,,1484131505648,charShow,,,b
e04,,1484131505969,screenTap,,,
e04,,1484131506049,charShow,,,a
e04,,1484131506449,charShow,,,a
e04,,1484131506848,charShow,,,b
e04,,1484131507196,screenTap,,,
e04,,1484131507248,charShow,,,a
e04,,1484131507650,charShow,,,b
e04,,1484131508040,screenTap,,,
e04,,1484131508052,charShow,,,a
e04,,1484131508450,charShow,,,a
e04,,1484131508851,charShow,,,b
e04,,1484131509165,screenTap,,,
e04,,1484131509250,charShow,,,a
e04,,1484131509650,charShow,,,a
e04,,1484131510050,charShow,,,b
e04,,1484131510406,screenTap,,,
e04,,1484131510450,charShow,,,a
e04,,1484131510850,charShow,,,b
e04,,1484131511249,charShow,,,a
e04,,1484131511266,screenTap,,,
e04,,1484131511650,charShow,,,a
e04,,1484131512050,charShow,,,b
e04,,1484131512392,screenTap,,,
e04,,1484131512449,charShow,,,a
e04,,1484131512850,charShow,,,a
e04,,1484131513250,charShow,,,b
e04,,1484131513580,screenTap,,,
e04,,1484131513650,charShow,,,a
