subjectID,trialID,currentTime,eventType,stimType,stimFile,stimChar
e08,16,1484424661976,trialStart,training,training_1_23_172_22709,
e08,,1484424662377,charShow,,,a
e08,,1484424662777,charShow,,,b
e08,,1484424663177,charShow,,,a
e08,,1484424663577,charShow,,,a
e08,,1484424663978,charShow,,,b
e08,,1484424664365,screenTap,,,
e08,,1484424664379,charShow,,,a
e08,,1484424664777,charShow,,,b
e08,,1484424665178,charShow,,,a
e08,,1484424665242,screenTap,,,
e08,,1484424665577,charShow,,,a
e08,,1484424665978,charShow,,,b
e08,,1484424666306,screenTap,,,
e08,,1484424666377,charShow,,,a
e08,,1484424666778,charShow,,,b
e08,,1484424667173,screenTap,,,
e08,,1484424667193,charShow,,,a
e08,,1484424667577,charShow,,,a
e08,,1484424667978,charShow,,,b
e08,,1484424668330,screenTap,,,
e08,,1484424668377,charShow,,,a
e08,,1484424668778,charShow,,,a
e08,,1484424669177,charShow,,,b
e08,,1484424669485,screenTap,,,
e08,,1484424669577,charShow,,,a
e08,,1484424669978,charShow,,,b
e08,,1484424670377,charShow,,,a
e08,,1484424670400,screenTap,,,
e08,,1484424670777,charShow,,,a
e08,,1484424671178,charShow,,,b
e08,,1484424671517,screenTap,,,
e08,,1484424671577,charShow,,,a
e08,,1484424671978,charShow,,,a
e08,,1484424672379,charShow,,,b
e08,,1484424672720,screenTap,,,
e08,,1484424672777,charShow,,,a
e08,,1484424673178,charShow,,,b
e08,,1484424673579,charShow,,,a
e08,,1484424673698,screenTap,,,
e08,,1484424673979,charShow,,,a
e08,,1484424674379,charShow,,,b
e08,,1484424674689,screenTap,,,
e08,,1484424674778,charShow,,,a
e08,,1484424675179,charShow,,,b
e08,,1484424675556,screenTap,,,
e08,,1484424675585,charShow,,,a
e08,,1484424675978,charShow,,,a
e08,,1484424676379,charShow,,,b
e08,,1484424676703,screenTap,,,
e08,,1484424676779,charShow,,,a
e08,,1484424677179,charShow,,,a
e08,,1484424677579,charShow,,,b
e08,,1484424677978,charShow,,,a
e08,,1484424678008,screenTap,,,
e08,,1484424678378,charShow,,,b
e08,,1484424678779,charShow,,,a
e08,,1484424678845,screenTap,,,
e08,,1484424679179,charShow,,,a
e08,,1484424679579,charShow,,,b
e08,,1484424679943,screenTap,,,
e08,,1484424679978,charShow,,,a
e08,,1484424680379,charShow,,,b
e08,,1484424680779,charShow,,,a
e08,,1484424680820,screenTap,,,
e08,,1484424681178,charShow,,,a
e08,,1484424681579,charShow,,,b
e08,,1484424681911,screenTap,,,
